"var_name","label"
"seqn","Respondent sequence number"
"bmdstats","Body Measures Component Status Code"
"bmxwt","Weight (kg)"
"bmiwt","Weight Comment"
"bmxrecum","Recumbent Length (cm)"
"bmirecum","Recumbent Length Comment"
"bmxhead","Head Circumference (cm)"
"bmihead","Head Circumference Comment"
"bmxht","Standing Height (cm)"
"bmiht","Standing Height Comment"
"bmxbmi","Body Mass Index (kg/m**2)"
"bmxleg","Upper Leg Length (cm)"
"bmileg","Upper Leg Length Comment"
"bmxarml","Upper Arm Length (cm)"
"bmiarml","Upper Arm Length Comment"
"bmxarmc","Arm Circumference (cm)"
"bmiarmc","Arm Circumference Comment"
"bmxwaist","Waist Circumference (cm)"
"bmiwaist","Waist Circumference Comment"
"bmxtri","Triceps Skinfold (mm)"
"bmitri","Triceps Skinfold Comment"
"bmxsub","Subscapular Skinfold (mm)"
"bmisub","Subscapular Skinfold Comment"
"bmdbmic","BMI Category - Children/Adolescents"
"bmxsad1","Sagittal Abdominal Diameter 1st (cm)"
"bmxsad2","Sagittal Abdominal Diameter 2nd (cm)"
"bmxsad3","Sagittal Abdominal Diameter 3rd (cm)"
"bmxsad4","Sagittal Abdominal Diameter 4th (cm)"
"bmdavsad","Average Sagittal Abdominal Diameter (cm)"
"bmdsadcm","Sagittal Abdominal Diameter Comment"
"bmdbmic","BMI Category - Children/Youth"
"bmxhip","Hip Circumference (cm)"
"bmihip","Hip Circumference Comment"
"sddsrvyr","Data Release Number"
"ridstatr","Interview/Examination Status"
"ridexmon","Six month time period"
"riagendr","Gender"
"ridageyr","Age at Screening Adjudicated - Recode"
"ridagemn","Age in Months at Screening - Recode"
"ridageex","Age in Months at Exam - Recode"
"ridreth1","Race/Ethnicity - Recode"
"dmqmilit","Served in the US Armed Forces"
"dmdborn2","Country of Birth - Recode"
"dmdcitzn","Citizenship Status"
"dmdyrsus","Length of time in US"
"dmdeduc3","Education Level - Children/Youth 6-19"
"dmdeduc2","Education Level - Adults 20+"
"dmdschol","Now attending school?"
"dmdmartl","Marital Status"
"dmdhhsiz","Total number of people in the Household"
"dmdfmsiz","Total number of people in the Family"
"indhhin2","Annual Household Income"
"indfmin2","Annual Family Income"
"indfmpir","Ratio of family income to poverty"
"ridexprg","Pregnancy Status at Exam - Recode"
"dmdhrgnd","HH Ref Person Gender"
"dmdhrage","HH Ref Person Age"
"dmdhrbr2","HH Ref Person Country of Birth"
"dmdhredu","HH Ref Person Education Level"
"dmdhrmar","HH Ref Person Marital Status"
"dmdhsedu","HH Ref Person's Spouse Education Level"
"sialang","Language of SP Interview"
"siaproxy","Proxy used in SP Interview?"
"siaintrp","Interpreter used in SP Interview?"
"fialang","Language of Family Interview"
"fiaproxy","Proxy used in Family Interview?"
"fiaintrp","Interpreter used in Family Interview?"
"mialang","Language of MEC Interview"
"miaproxy","Proxy used in MEC Interview?"
"miaintrp","Interpreter used in MEC Interview?"
"aialang","Language of ACASI Interview"
"wtint2yr","Full Sample 2 Year Interview Weight"
"wtmec2yr","Full Sample 2 Year MEC Exam Weight"
"sdmvpsu","Masked Variance Pseudo-PSU"
"sdmvstra","Masked Variance Pseudo-Stratum"
"sddsrvyr","Data release cycle"
"ridstatr","Interview/Examination status"
"ridageyr","Age in years at screening"
"ridagemn","Age in months at screening - 0 to 24 mos"
"ridreth1","Race/Hispanic origin"
"ridreth3","Race/Hispanic origin w/ NH Asian"
"ridexagy","Age in years at exam - 2 to 19 years"
"ridexagm","Age in months at exam - 0 to 19 years"
"dmqmiliz","Served active duty in US Armed Forces"
"dmqadfc","Served in a foreign country"
"dmdborn4","Country of birth"
"dmdcitzn","Citizenship status"
"dmdeduc3","Education level - Children/Youth 6-19"
"dmdeduc2","Education level - Adults 20+"
"dmdmartl","Marital status"
"ridexprg","Pregnancy status at exam"
"aialanga","Language of ACASI Interview"
"wtint2yr","Full sample 2 year interview weight"
"wtmec2yr","Full sample 2 year MEC exam weight"
"sdmvpsu","Masked variance pseudo-PSU"
"sdmvstra","Masked variance pseudo-stratum"
"indhhin2","Annual household income"
"indfmin2","Annual family income"
"dmdhhsza","# of children 5 years or younger in HH"
